,rank,name,q,country
661,662,Sodexo,Q1475554,France
662,663,Isbank,Q2607251,Germany
663,664,Carrefour,Q217599,
664,665,Republic Services,Q7314415,
665,666,Publicis Groupe,Q1537378,France
666,667,Porsche Automobil Holding,Q2104551,Germany
667,668,D.R. Horton,,
668,669,Kasikornbank,Q276557,Thailand
669,670,Capgemini,Q1034621,France
670,671,Ross Stores,Q3442791,United States of America
671,672,Deutsche Boerse,Q157852,Germany
672,673,Grupo Aval,Q2053387,
673,674,Husky Energy,Q702049,Canada
674,675,CGN Power,Q18699320,
675,676,West Japan Railway,Q502125,Japan
676,677,Legend Holding,Q6517739,People's Republic of China
677,678,Nutrien,Q48742870,Canada
678,679,Activision Blizzard,Q344341,United States of America
679,680,Toray Industries,Q168115,Japan
680,681,Chubu Electric Power,Q1091203,Japan
681,682,China Tower Corp.,,
682,683,Analog Devices,Q484930,United States of America
683,684,Grupa PZU,Q1807170,Poland
684,685,Viacom,Q214346,United States of America
685,686,Fidelity National Information,Q1411295,
686,687,Sekisui House,Q1539141,Japan
687,688,Akzo Nobel,Q50912,Netherlands
688,689,Huntington Bank,Q798819,United States of America
689,690,WH Group,Q17499655,
690,691,Molson Coors Brewing,Q3319685,
691,692,Haitong Securities,Q5639783,
692,693,AES,Q190746,
693,694,Tesla,Q9036,
694,695,Falabella,Q613922,
695,696,Fox,Q166419,United States of America
696,697,Veolia Environnement,Q1632461,France
697,698,Link REIT,Q837533,People's Republic of China
698,699,Lenovo Group,Q14799,United States of America
699,700,Atlas Copco,Q757164,Sweden
700,701,Suncorp Group,Q2366028,
701,702,All Nippon Airways,Q204284,Japan
702,703,T&D Holdings,Q127,
703,704,Lam Research,Q1342041,United States of America
704,705,Pioneer Natural Resources,Q4046987,United States of America
705,706,Vivendi,Q1127887,France
706,707,VF,Q848662,
707,708,Solvay,Q706184,Belgium
708,709,UPM-Kymmene,Q1890664,Finland
709,710,Uniper,Q19839259,Germany
710,711,National Bank of Kuwait,Q4045072,
711,712,Samba Financial Group,Q7408955,
712,713,China Southern Airlines,Q291090,People's Republic of China
713,714,Nomura,Q21449594,
714,715,Reinsurance Group of America,Q1793182,
715,716,Eiffage,Q1302944,France
716,717,Cardinal Health,Q902397,United States of America
717,718,Crown Castle International,Q5189320,United States of America
718,719,Ericsson,Q52618,Sweden
719,720,Sumitomo Chemical,Q137803,Japan
720,721,Tokyo Electron,Q1351484,Japan
721,722,Willis Towers Watson,Q21189883,United States of America
722,723,CBRE Group,Q1023013,
723,724,Essity Ab,Q30938280,Sweden
724,725,Sandvik,Q27888829,
725,726,CSL,Q209318,People's Republic of China
726,727,Credicorp,Q126559,
727,728,Riyad Bank,Q3433985,Saudi Arabia
728,729,London Stock Exchange,Q171240,United Kingdom
729,730,Guotai Junan Securities,Q5619679,
730,731,DSM,Q201561,
731,732,Bancolombia,Q806206,
732,733,Rolls-Royce Holdings,Q243278,United Kingdom
733,734,Hong Kong Exchanges,Q751361,People's Republic of China
734,735,Otsuka Holding,Q5216177,Japan
735,736,Stanley Black & Decker,Q3129963,
736,737,BYD,Q2608329,People's Republic of China
737,738,WestRock,Q21016487,United States of America
738,739,CarMax,Q5037190,United States of America
739,740,Aptiv,Q643626,United Kingdom
740,741,Axis Bank,Q2003549,India
741,742,CenturyLink,Q5063092,United States of America
742,743,Fortive,Q27919383,United States of America
743,744,George Weston,Q5546186,
744,745,Koç Holding,Q1306571,Turkey
745,746,Huaneng Power International,Q1507642,People's Republic of China
746,747,Isuzu Motors,Q29803,Japan
747,748,Telkom Indonesia,Q2305438,Indonesia
748,749,China Energy Engineering,Q20724247,
749,750,Unipol Gruppo,Q1503818,Italy
750,751,Teva Pharmaceutical,Q898750,Israel
751,752,Keyence,Q1475699,Japan
752,753,Neste,Q616376,Finland
753,754,Shanghai International Port,Q750131,People's Republic of China
754,755,Nedbank,Q2751701,
755,756,Bangkok Bank,Q806483,Thailand
756,757,China Reinsurance Group,,
757,758,Formosa Plastics,Q4391877,Taiwan
758,759,Telecom Italia,Q144617,Italy
759,760,Concho Resources,Q22073190,
760,761,Covestro,Q812142,Germany
761,762,Guangzhou R&F,Q1192340,People's Republic of China
762,763,LG,Q162345,South Korea
763,764,Liberty Global,Q571779,United Kingdom
764,765,Raymond James Financial,Q7298901,
765,766,Fairfax Financial,Q1393210,
766,767,ROSSETI,Q186748,
767,768,China Eastern Airlines,Q291796,People's Republic of China
768,769,Tata Motors,Q188514,India
769,770,AIB Group,Q1642179,Ireland
770,771,Fortis (Canada),,
771,772,Woodside Petroleum,Q1812208,Australia
772,773,China Steel,Q712863,Taiwan
773,774,First Republic Bank,Q5453752,United States of America
774,775,ATOS,Q757688,
775,776,Japan Airlines,Q213140,Japan
776,777,Garanti Bank,Q322962,Turkey
777,778,Edison International,Q662095,United States of America
778,779,Galp Energia,Q1492739,Portugal
779,780,Infineon Technologies,Q311394,Germany
780,781,Athene Holding,,
781,782,Old Mutual,Q289704,United Kingdom
782,783,AutoZone,Q4826087,
783,784,Abu Dhabi Commercial Bank,Q4670123,United Arab Emirates
784,785,Yanzhou Coal Mining,Q850451,People's Republic of China
785,786,Macy's,Q629269,United States of America
786,787,NetEase,Q196259,People's Republic of China
787,788,Hermès International,Q843887,
788,789,Fanuc,Q212116,Japan
789,790,Regeneron Pharmaceuticals,Q7308054,United States of America
790,791,Novolipetsk Steel,Q1768082,Russia
791,792,Hanwha,Q489202,
792,793,Dentsu,Q1189945,Japan
793,794,Carlsberg,Q113215,Denmark
794,795,Textron,Q2140315,United States of America
795,796,Bank of Jinzhou,Q21693120,People's Republic of China
796,797,SSE,Q739514,People's Republic of China
797,798,Huatai Securities,,
798,799,Lotte Chemical,Q12594201,
799,800,Hikvision,Q5760704,People's Republic of China
800,801,QBE Insurance Group,,
801,802,Shaanxi Coal Industry,Q7459934,People's Republic of China
802,803,Shanghai Electric Group,,
803,804,Saudi British Bank,,
804,805,O'Reilly Automotive,,
805,806,ITC,Q1504199,United States of America
806,807,Chunghwa Telecom,Q717531,Taiwan
807,808,Shenzhen Overseas,Q27866051,People's Republic of China
808,809,EnBW-Energie Baden,Q644304,Germany
809,810,Comerica,Q1114148,United States of America
810,811,Inner Mongolia Yili,Q1231406,People's Republic of China
811,812,Genuine Parts,Q5533818,United States of America
812,813,PKO Bank Polski,Q578832,Poland
813,814,PG&E,Q691,Papua New Guinea
814,815,Discovery,Q43404,Germany
815,816,Ferguson,Q2694490,
816,817,Huishang Bank,Q11071935,
817,818,Sanlam,Q847484,
818,819,Williams,Q49166,United States of America
819,820,Deutsche Wohnen,Q1204510,Germany
820,821,S&P Global,Q131,
821,822,Wanhua Chemical Group,Q2599552,
822,823,Fortum,Q808845,
823,824,Mega Financial Holding,Q1791912,
824,825,JBS,Q1676554,
825,826,China Coal Energy,Q1073240,People's Republic of China
826,827,Emaar Properties,Q1153463,United Arab Emirates
827,828,Canadian Pacific Railway,Q46974,Canada
828,829,Evraz Group,Q1382653,United Kingdom
829,830,Mitsubishi Motors,Q36033,Japan
830,831,Wuliangye Yibin,Q3570160,People's Republic of China
831,832,Intuit,Q1318848,United States of America
832,833,LabCorp,Q6466630,United States of America
833,834,PTT Global Chemical,Q16306121,Thailand
834,835,Bank Negara Indonesia,Q2882611,Indonesia
835,836,Galaxy Entertainment,Q57315685,Canada
836,837,Gemdale,Q16512362,People's Republic of China
837,838,E-Trade Financial,Q2607502,United States of America
838,839,Kuehne & Nagel International,Q19799639,
839,840,Kone,Q1146592,Finland
840,841,Ryanair Holdings,Q170614,Ireland
841,842,Great Wall Motor,Q1117001,People's Republic of China
842,843,MGM Resorts,Q568532,United States of America
843,844,Tokyo Gas,Q1813910,Japan
844,845,YPF,Q2598689,
845,846,Daiwa Securities,Q11433563,
846,847,ThyssenKrupp Group,,
847,848,Vestas Wind Systems,Q868259,Denmark
848,849,Sabanci Holding,Q902109,Turkey
849,850,Mazda Motor,Q35996,Japan
850,851,DP World,Q1154956,
851,852,Bharti Airtel,Q854867,India
852,853,Valeo,Q1305281,France
853,854,Ameren,Q462984,United States of America
854,855,Secom,Q858957,Japan
855,856,Brighthouse Financial,Q39052929,
856,857,Hilton,Q1158419,
857,858,Wipro,Q1364176,India
858,859,Itaúsa,Q1579151,Brazil
859,860,China Huarong Asset Management,Q21584822,
860,861,Amphenol,Q474621,United States of America
861,862,Daiichi Sankyo,Q669441,Japan
862,863,JSW Steel,Q6108978,India
863,864,Schindler Holding,Q2236141,
864,865,Power Grid of India,,
865,866,Scentre Group,Q18378048,Australia
866,867,Seagate Technology,Q705392,United States of America
867,868,OTP Bank,Q912778,
868,869,Aena,Q291464,Spain
869,870,Akbank,Q416624,Turkey
870,871,SVB Financial Group,,
871,872,Unum,Q143435,United States of America
872,873,Towngas,Q7830116,
873,874,Kuwait Finance House,Q2336459,
874,875,Future Land Development Holdings,,
875,876,Hindalco Industries,Q1619261,India
876,877,China Resources Pharmaceutical Group,,
877,878,Eastman Chemical,Q899022,United States of America
878,879,HCL Technologies,Q5629103,India
879,880,Conagra Brands,Q1123399,
880,881,CP All,Q5013767,Thailand
881,882,Stora Enso,Q747265,
882,883,Bank Leumi,Q806641,Israel
883,884,Lear,Q309759,
884,885,Kohl's,Q967265,United States of America
885,886,MOL Hungarian Oil,,
886,887,Xiamen C&D,Q10911437,People's Republic of China
887,888,S.F. Holding,,
888,889,Zijin Mining Group,,
889,890,CapitaLand,Q3272868,
890,891,Steinhoff International,Q2340904,South Africa
891,892,Inpex,Q1654229,Japan
892,893,China National Nuclear Power,,
893,894,GF Securities,,
894,895,Zoetis,Q8073337,United States of America
895,896,Halkbank,Q16562645,Turkey
896,897,Pembina Pipeline,Q7161915,
897,898,ASE Technology Holding,,
898,899,Taisei,Q26203362,
899,900,TDK,Q163872,
900,901,Shenwan Hongyuan Group,Q15914712,People's Republic of China
901,902,Weyerhaeuser,Q2663173,United States of America
902,903,Kajima,Q27169064,
903,904,Banque Saudi Fransi,Q7181252,
904,905,Cheniere Energy,Q27926500,
905,906,STMicroelectronics,Q661845,France
906,907,L3Harris Technologies,Q65053147,
907,908,VakifBank,Q1148521,Turkey
908,909,Randstad Holding,Q267840,Kingdom of the Netherlands
909,910,South32,Q20648697,Australia
910,911,United Rentals,Q7889101,
911,912,Braskem,Q899395,Brazil
912,913,Mediobanca,Q749034,Italy
913,914,Arrow Electronics,Q2059537,
914,915,Marathon Oil,Q1577587,United States of America
915,916,Obayashi,Q10935770,
916,917,RiseSun Real Estate Development,,
917,918,Hormel Foods,Q1454852,United States of America
918,919,Alliance Data Systems,,
919,920,Franklin Resources,,
920,921,China Hongqiao Group,,
921,922,Hershey,Q868666,United States of America
922,923,CMS Energy,Q5013012,
923,924,Aluminum Corp of China,,
924,925,Severstal,Q638448,Russia
925,926,Dubai Islamic Bank,Q5310570,United Arab Emirates
926,927,BAIC Motor,Q33111848,
927,928,Julius Baer Group,Q671901,Switzerland
928,929,Roper Technologies,Q16932392,United States of America
929,930,Swatch Group,Q694107,Switzerland
930,931,Snam,Q583247,Italy
931,932,Norsk Hydro,Q511031,Norway
932,933,AntarChile,Q571092,Chile
933,934,Suntory Beverage & Food,Q17210124,
934,935,Fortescue Metals Group,Q1438957,Australia
935,936,MTN Group,Q1813361,South Africa
936,937,TCL,Q5288,
937,938,China Merchants Securities,,
938,939,Quanta Computer,Q696743,Taiwan
939,940,KT,Q128822,
940,941,Shanghai Pharmaceuticals,Q10867753,People's Republic of China
941,942,Scor,Q920000,France
942,943,Bankia,Q806807,Spain
943,944,Dollar Tree,Q5289230,United States of America
944,945,Origin Energy,Q847931,Australia
945,946,Shengjing Bank,Q1049624,People's Republic of China
946,947,Ball,Q18545,
947,948,China Gezhouba,Q5555081,People's Republic of China
948,949,Yum! Brands,Q668737,United States of America
949,950,Air France-KLM,Q407237,France
950,951,Amadeus IT Group,Q696061,
951,952,AGC,Q720484,Japan
952,953,Arch Capital Group,Q28155430,
953,954,CDW,Q561078,
954,955,Tenaris,Q642106,Argentina
955,956,Bank of Ireland,Q806689,Ireland
956,957,Logan Property Holdings,Q18669563,
957,958,Arconic,Q25104597,
958,959,Bank Hapoalim,Q2666775,Israel
959,960,Beiersdorf,Q502568,Germany
960,961,IQVIA,Q305473,United States of America
961,962,Vertex Pharmaceuticals,Q2744099,United States of America
962,963,Alstom,Q309084,France
963,964,AvalonBay Communities,Q4827537,United States of America
964,965,CEZ Group,Q336735,Czech Republic
965,966,Fiserv,Q1420513,United States of America
966,967,Bâloise Group,Q457912,Switzerland
967,968,China Grand Automotive Services,,
968,969,Mylan,Q899010,United States of America
969,970,Bank of East Asia,Q806679,People's Republic of China
970,971,Qurate Retail Group,,
971,972,Krung Thai Bank,Q962865,Thailand
972,973,Mahindra & Mahindra,Q60461120,India
973,974,CGI Group,Q1798370,
974,975,Cemex,Q1053348,Mexico
975,976,Altice USA,Q644289,United States of America
976,977,Cosco Shipping,Q641021,People's Republic of China
977,978,Sharp,Q53227,Japan
978,979,WW Grainger,,
979,980,Leonardo,Q762,
980,981,Gap,Q175081,France
981,982,American Financial Group,Q4743779,United States of America
982,983,Uni-President,Q7884615,Taiwan
983,984,Korea Gas,Q491489,South Korea
984,985,Cenovus Energy,Q1053422,Canada
985,986,CenterPoint Energy,Q1053560,
986,987,Motorola Solutions,Q634815,United States of America
987,988,SMC,Q49984,
988,989,Meituan Dianping,Q15907772,
989,990,T Rowe Price,,
990,991,Agile Group Holdings,,
991,992,TUI,Q824122,Spain
992,993,Expedia Group,Q8085893,
993,994,Public Storage,Q1156045,United States of America
994,995,Guangzhou Rural Commercial Bank,Q11062006,
995,996,Zions Bancorp,Q205378,
996,997,Shiseido,Q728185,Japan
997,998,C.H. Robinson,Q931200,
998,999,WR Berkley,,
999,1000,Samsung SDI,Q21120876,
1000,1001,ZTE,Q144952,Hungary
1001,1002,Voya Financial,Q5972276,
1002,1003,Arab National Bank,Q4783214,
1003,1004,Centrica,Q259013,United Kingdom
1004,1005,Financiere de l'Odet,Q444172,France
1005,1006,Wens Foodstuff Group,,
1006,1007,Electronic Arts,Q173941,United States of America
1007,1008,Bank Of Hangzhou,,
1008,1009,GS Holdings,Q12581123,
1009,1010,Pgnig Group,,
1010,1011,HollyFrontier,Q5881864,United States of America
1011,1012,DSV,Q1205300,Germany
1012,1013,Intuitive Surgical,Q2743863,United States of America
1013,1014,Legrand,Q16872020,
1014,1015,Inner Mongolia Baotou Steel,Q373291,People's Republic of China
1015,1016,En+ Group Plc Sponsored GDR RegS,,
1016,1017,Sany Heavy Industry,,
1017,1018,BDO Unibank,Q4854129,
1018,1019,China Gas Holdings,,
1019,1020,Aeroports de Paris,Q794563,France
1020,1021,Diamondback Energy,Q65091423,
1021,1022,Asr Nederland,Q297996,
1022,1023,NEC,Q219203,Japan
1023,1024,Db Insurance,Q5295830,
1024,1025,JM Smucker,,
1025,1026,Schaeffler,Q37509721,
1026,1027,Zimmer Biomet,Q203552,United States of America
1027,1028,China Jinmao,Q5492439,People's Republic of China
1028,1029,Hengli Petrochemical,,
1029,1030,ALFA,Q9659,
1030,1031,Shanghai Construction,Q15528181,People's Republic of China
1031,1032,Qatar Islamic Bank,Q18346281,Qatar
1032,1033,CJ Cheiljedang,Q6451272,South Korea
1033,1034,Turkish Airlines,Q4548,Turkey
1034,1035,Thomson Reuters,Q1141267,Canada
1035,1036,Investor AB,Q1671804,
1036,1037,Adecco,Q28134236,
1037,1038,Rockwell Automation,Q1529234,United States of America
1038,1039,Moody's,Q675585,United States of America
1039,1040,Datang International Power,Q287744,People's Republic of China
1040,1041,Accor,Q212599,France
1041,1042,IndusInd Bank,Q2040323,
1042,1043,Intact Financial,Q3152974,
1043,1044,J Sainsbury,Q18043414,
1044,1045,Thai Beverage,Q15304350,Thailand
1045,1046,Yamaha Motor,Q158888,Japan
1046,1047,Cintas,Q1092571,
1047,1048,Beijing Enterprises,Q836569,People's Republic of China
1048,1049,Gallagher,Q1492185,
1049,1050,Continental Resources,Q5165314,United States of America
1050,1051,Daito Trust Construction,Q11436136,
1051,1052,China Shipbuilding Industry,Q1073506,People's Republic of China
1052,1053,Shin Kong Financial,,
1053,1054,BBMG,Q4415024,People's Republic of China
1054,1055,MediaTek,Q699848,Taiwan
1055,1056,Onex,Q68240,Switzerland
1056,1057,Tokyu,Q58415879,
1057,1058,WellCare Health Plans,Q7981065,
1058,1059,Mitsubishi UFJ Lease,Q11357003,
1059,1060,Celanese,Q547450,
1060,1061,Hesteel,Q675867,People's Republic of China
1061,1062,Interactive Brokers Group,Q3901581,United States of America
1062,1063,Sumitomo Metal Mining,Q1685648,Japan
1063,1064,Japan Exchange Group,Q11507487,Japan
1064,1065,Mohawk Industries,Q6893780,
1065,1066,Sojitz,Q586260,Japan
1066,1067,Investec,Q1671741,United Kingdom
1067,1068,NetApp,Q704548,Germany
1068,1069,Yum China Holdings,Q30645592,United States of America
1069,1070,Melrose Industries Plc,Q3305280,United Kingdom
1070,1071,Universal Health,Q45219779,
1071,1072,Gecina,Q1497417,France
1072,1073,Restaurant Brands International,Q18619470,Canada
1073,1074,Dexia,Q4119443,
1074,1075,Norwegian Cruise Line Holdings,Q60767471,
1075,1076,Sika,Q361332,
1076,1077,Zhejiang Zheneng Electric Power,,
1077,1078,Singapore Airlines,Q32245,Singapore
1078,1079,Technipfmc,Q30324333,United Kingdom
1079,1080,BCI-Banco Credito,,
1080,1081,SDIC Power Holdings,,
1081,1082,Dassault Aviation,Q460487,France
1082,1083,First Financial Holding,,
1083,1084,Barrick Gold,Q808908,Canada
1084,1085,Shimizu,Q16883193,
1085,1086,Vistra Energy,,
1086,1087,Invesco,Q522617,United States of America
1087,1088,Mosaic,Q133067,
1088,1089,Oi,Q384981,Japan
1089,1090,Jiangsu Yanghe Brewery,,
1090,1091,Klepierre,Q3197950,France
1091,1092,SM Investments,Q7391498,
1092,1093,Harris,Q10859343,
1093,1094,Agilent Technologies,Q393762,United States of America
1094,1095,Altice Europe,Q15944611,Netherlands
1095,1096,Joint Stock Commercial Bank for Foreign Trade of Vietnam,,
1096,1097,Kyushu Electric Power,Q694507,Japan
1097,1098,Markel,Q5999558,
1098,1099,Welltower,,
1099,1100,Twitter,Q918,United States of America
1100,1101,Kerry Group,Q253967,Ireland
1101,1102,Angang Steel,Q2227422,People's Republic of China
1102,1103,Hoya,Q157749,
1103,1104,Illumina,Q2068984,United States of America
1104,1105,Mondi,Q779252,United Kingdom
1105,1106,Steel Dynamics,Q7605667,
1106,1107,Bajaj Finserv,Q18636352,
1107,1108,Boston Properties,Q4844439,
1108,1109,Insurance Australia Group,Q1665336,
1109,1110,American Water Works,Q15751975,United States of America
1110,1111,Goodyear,Q79457,United States of America
1111,1112,Banco de Sabadell,Q762330,Spain
1112,1113,Knorr-Bremse,Q256290,Germany
1113,1114,Annaly Capital Management,Q16828730,
1114,1115,Helvetia Holding,,
1115,1116,LG Display,Q483006,South Korea
1116,1117,Harbin Bank,Q1049674,
1117,1118,Alinma Bank,Q4120111,Saudi Arabia
1118,1119,Grupo Inbursa,,
1119,1120,AGL Energy,Q292374,
1120,1121,E.Sun Financial,,
1121,1122,Paychex,Q946080,
1122,1123,AerCap Holdings,,
1123,1124,Rongsheng Petrochemical,Q55454117,People's Republic of China
1124,1125,Bunge,Q65899,
1125,1126,Meiji Holdings,Q11512295,
1126,1127,Bankinter,Q806808,Spain
1127,1128,Westlake Chemical,Q17326957,
1128,1129,Grifols,Q901262,Spain
1129,1130,KLA-Tencor,Q624649,United States of America
1130,1131,Monster Beverage,Q1945295,United States of America
1131,1132,Darden Restaurants,Q742196,United States of America
1132,1133,Ferrovial,Q1408037,Spain
1133,1134,Encana,Q688687,Canada
1134,1135,Taiwan Cooperative Financial,,
1135,1136,Industries Qatar,Q12220267,Qatar
1136,1137,Clorox,Q910368,United States of America
1137,1138,Lonza Group,Q674216,Switzerland
1138,1139,Hankyu Hanshin Holdings,Q841220,Japan
1139,1140,Ternium,Q918208,Argentina
1140,1141,Tohoku Electric Power,Q592765,Japan
1141,1142,BorgWarner,Q825943,United States of America
1142,1143,Attijariwafa Bank,Q758052,Morocco
1143,1144,Ulta Beauty,Q7880076,
1144,1145,CIFI Holdings Group,,
1145,1146,Samsung SDS,Q7410538,South Korea
1146,1147,Molina Healthcare,Q6896175,
1147,1148,Saudi Arabian Mining,,
1148,1149,Interpublic Group,Q1501630,United States of America
1149,1150,Skanska,Q1537811,Sweden
1150,1151,Amcor,Q460307,
1151,1152,Guosen Securities,Q5619672,People's Republic of China
1152,1153,SGS,Q213434,Lithuania
1153,1154,Tokyo Century,,
1154,1155,Evergy,Q7987107,
1155,1156,PVH,Q1132272,
1156,1157,Host Hotels & Resorts,Q1630559,United States of America
1157,1158,Saputo,Q37504167,
1158,1159,Whirlpool,Q607538,
1159,1160,TransDigm Group,Q7833612,
1160,1161,Kobe Steel,Q1730802,Japan
1161,1162,Voestalpine,Q689750,Austria
1162,1163,Aramark,Q625708,United States of America
1163,1164,China Galaxy Securities,Q15952752,People's Republic of China
1164,1165,China International Marine,Q1073291,People's Republic of China
1165,1166,CJ Corporation,Q16165708,
1166,1167,Jeronimo Martins,Q1688026,Portugal
1167,1168,Terna,Q936325,Italy
1168,1169,PulteGroup,Q7259716,United States of America
1169,1170,China Development Financial,Q10876574,
1170,1171,China Resources Power,Q748693,
1171,1172,Bank Pekao,Q806642,
1172,1173,Covivio,Q741445,France
1173,1174,Oriental Land,Q868679,Japan
1174,1175,Xilinx,Q1046482,
1175,1176,Schroders,Q1142797,United Kingdom
1176,1177,Wynn Resorts,Q2274089,United States of America
1177,1178,Bank of Tianjin,Q10940359,
1178,1179,GD Power Development,Q1485050,People's Republic of China
1179,1180,Equinix,Q851641,United States of America
1180,1181,UBI Banca,Q3633701,Italy
1181,1182,Cosmo Energy Holdings,Q22122895,Japan
1182,1183,UCB,Q736674,United States of America
1183,1184,3i Group,Q229764,United Kingdom
1184,1185,Yara International,Q901886,Norway
1185,1186,GAIL India,,
1186,1187,Givaudan,Q596811,
1187,1188,Hyundai Steel,Q6502960,South Korea
1188,1189,Inter Rao,Q1963801,Russia
1189,1190,Ferrari,Q27586,Italy
1190,1191,Industrial Alliance Insurance,,
1191,1192,Vienna Insurance Group,Q694257,Austria
1192,1193,Petronas Chemicals,,
1193,1194,Terumo,Q3518961,Japan
1194,1195,Newmont Mining,Q1785405,
1195,1196,Masco,Q6782872,United States of America
1196,1197,Ricoh,Q178778,Japan
1197,1198,Top Frontier Investment Holdings,Q48804700,
1198,1199,Punjab National Bank,Q2743499,India
1199,1200,Edwards Lifesciences,Q16966841,United States of America
1200,1201,Pegatron,Q4046573,Taiwan
1201,1202,Indorama Ventures,Q6026518,Thailand
1202,1203,Bank Of Guiyang,,
1203,1204,S-Oil,Q185564,
1204,1205,Arkema,Q673327,France
1205,1206,Airports of Thailand,Q409075,Thailand
1206,1207,NRG Energy,Q6955139,
1207,1208,Dassault Systemes,Q1172038,France
1208,1209,Experian,Q692157,Germany
1209,1210,US Steel,Q31567165,United States of America
1210,1211,Advanced Info Service,Q379592,Thailand
1211,1212,Expeditors International,Q1384324,United States of America
1212,1213,Jiangsu Hengrui Medicine,Q55454081,People's Republic of China
1213,1214,Hess,Q15755050,European Union
1214,1215,HAL Trust,,
1215,1216,LG Household & Health Care,Q16169971,
1216,1217,Grasim Industries,Q906943,India
1217,1218,Phoenix Group Holdings,Q7186887,United Kingdom
1218,1219,Assa Abloy,Q738421,Sweden
1219,1220,Charoen Pokphand Foods,Q1067634,
1220,1221,Worldpay,Q2900982,
1221,1222,Yuanta Financial Holding,,
1222,1223,Concordia Financial Group,Q22122898,
1223,1224,SKF Group,,
1224,1225,Genworth Financial,Q1502712,
1225,1226,Bank of Baroda,Q2003797,India
1226,1227,Jiangxi Copper,Q1518015,People's Republic of China
1227,1228,Bank of Changsha,,
1228,1229,China Mengniu Dairy,Q985475,
1229,1230,Grupo Elektra,Q1142753,
1230,1231,HCP,Q424390,
1231,1232,Equity Residential,Q187740,
1232,1233,Shionogi,Q3482319,Japan
1233,1234,Foshan Haitian Flavouring and Food,,
1234,1235,Quest Diagnostics,Q7271456,United States of America
1235,1236,Ayala,Q15540752,
1236,1237,China International Capital,Q5099737,
1237,1238,Magnitogorsk Iron & Steel,Q1884500,Russia
1238,1239,Ashtead Group,Q4805956,
1239,1240,Bank Of Chengdu,Q11074691,
1240,1241,Brown-Forman,Q392221,United States of America
1241,1242,Hunan Valin Steel,Q5942059,People's Republic of China
1242,1243,Delta Electronics,Q5254620,Taiwan
1243,1244,East West Bancorp,Q5329659,
1244,1245,New Residential Investment,,
1245,1246,Fastenal,Q3067119,United States of America
1246,1247,Power Finance,Q7236317,India
1247,1248,Henry Schein,Q905086,
1248,1249,FleetCor Technologies,Q16838618,
1249,1250,Hexagon,Q83043,
1250,1251,Dai Nippon Printing,Q1157511,Japan
1251,1252,Metro Group,Q169167,Germany
1252,1253,Goodman Group,Q3110722,
1253,1254,Torchmark,Q7825574,United States of America
1254,1255,Ctrip.com International,Q5191790,People's Republic of China
1255,1256,China Life Insurance (Taiwan),,
1256,1257,McCormick,Q15224082,
1257,1258,Storebrand,Q1783279,Norway
1258,1259,HNA Technology,Q48816378,People's Republic of China
1259,1260,Apache,Q102090,
1260,1261,Brenntag,Q828445,Germany
1261,1262,RSA Insurance Group,Q1780407,United Kingdom
1262,1263,NVR,Q754479,
1263,1264,Skyworks Solutions,Q7538146,United States of America
1264,1265,China International Travel Service,,
1265,1266,Johnson Matthey,Q502470,United Kingdom
1266,1267,Hua Nan Financial,Q16510360,
1267,1268,Huntington Ingalls Industries,Q7257522,United States of America
1268,1269,Unicharm,Q5361268,Japan
1269,1270,China Molybdenum,Q5099785,People's Republic of China
1270,1271,Yango Group,,
1271,1272,Wolters Kluwer,Q249798,Netherlands
1272,1273,Hyundai Marine & Fire,Q482973,
1273,1274,Umicore,Q902769,Belgium
1274,1275,Waste Connections,Q7972797,
1275,1276,Sino-Ocean Group Holding,,
1276,1277,AGNC Investment,,
1277,1278,Signature Bank,Q24204571,
1278,1279,Cerner,Q1055390,United States of America
1279,1280,Huadian Power International,Q5925035,People's Republic of China
1280,1281,Power Assets Holdings,Q3400900,
1281,1282,Ahli United Bank,Q18746438,Bahrain
1282,1283,Qantas Airways,Q32491,Australia
1283,1284,Ametek,Q470317,United States of America
1284,1285,Cathay Pacific Airways,Q32141,Hong Kong
1285,1286,LKQ,Q20711490,
1286,1287,LARGAN Precision,Q6488962,
1287,1288,X5 Retail Group,Q258748,Russia
1288,1289,Canara Bank,Q2003777,India
1289,1290,Digital Realty Trust,Q5275969,United States of America
1290,1291,Crown Holdings,Q5189378,United States of America
1291,1292,Doosan,Q1879363,
1292,1293,Valeant Pharmaceuticals,Q1700871,Canada
1293,1294,Transurban Group,,
1294,1295,Mitsui Chemicals,Q777141,Japan
1295,1296,Maanshan Iron & Steel,Q1859119,People's Republic of China
1296,1297,Jacobs Engineering,Q3157622,United States of America
1297,1298,Partners Group Holding,Q684222,
1298,1299,AVIC Capita,,
1299,1300,Focus Media Information Technology,,
1300,1301,Koito Manufacturing,Q11463459,Japan
1301,1302,Check Point Software,Q176587,
1302,1303,Quinenco,Q6095481,Chile
1303,1304,Leidos,Q502132,United States of America
1304,1305,Dover,Q179224,United Kingdom
1305,1306,Grupo Bimbo,Q775031,Mexico
1306,1307,Sino Biopharmaceutical,Q55454162,People's Republic of China
1307,1308,Everest Re Group,Q1381973,
1308,1309,Jinke Property Group,Q15956358,People's Republic of China
1309,1310,Bombardier,Q333498,Canada
1310,1311,L Brands,Q931354,United States of America
1311,1312,Wuestenrot & Wuerttembergische,Q994811,Austria
1312,1313,DaVita,Q5207184,
1313,1314,Ventas,Q2014690,Spain
