,rank,name,q,country
149,150,Medtronic,Q642189,Ireland
150,151,China Everbright Bank,Q10873167,People's Republic of China
151,152,China Shenhua Energy,Q1073509,People's Republic of China
152,153,Honeywell International,Q58221851,Czech Republic
153,154,Banco do Brasil,Q610817,Brazil
154,155,People's Insurance,Q1807264,People's Republic of China
155,156,UniCredit,Q45568,Italy
156,157,CK Hutchison,Q19548352,
157,158,Société Générale,Q270363,France
158,159,ConocoPhillips,Q214763,United States of America
159,160,United Parcel Service,Q155026,United States of America
160,161,VINCI,Q762,
161,162,Visa,Q328840,United States of America
162,163,Tokio Marine Holdings,Q1812086,Japan
163,164,Bayer,Q104761,Germany
164,165,PTT PCL,Q1810389,Thailand
165,166,Manulife,Q1652574,Japan
166,167,AbbVie,Q14662364,United States of America
167,168,China Telecom,Q24834296,
168,169,Phillips 66,Q1656230,United States of America
169,170,KDDI,Q971946,Japan
170,171,Fiat Chrysler Automobiles,Q15678788,Netherlands
171,172,Marathon Petroleum,Q458363,United States of America
172,173,Costco Wholesale,Q715583,United States of America
173,174,Enbridge,Q1339966,
174,175,Amgen,Q470517,United States of America
175,176,SAP,Q552581,Germany
176,177,Bank of New York Mellon,Q16246094,United States of America
177,178,Broadcom,Q555925,United States of America
178,179,SK Hynix,Q370719,South Korea
179,180,China Communications Construction,Q1073236,People's Republic of China
180,181,Lockheed Martin,Q7240,United States of America
181,182,Itochu,Q717093,Japan
182,183,Duke Energy,Q1264404,United States of America
183,184,FedEx,Q459477,United States of America
184,185,Royal Bank of Scotland,Q160126,United Kingdom
185,186,Orange,Q39338,
186,187,Barclays,Q245343,United Kingdom
187,188,Union Pacific,Q1930992,
188,189,América Móvil,Q482267,Mexico
189,190,Canadian Imperial Bank,Q666694,Canada
190,191,Credit Suisse Group,Q372657,Switzerland
191,192,Synchrony Financial,Q18387139,
192,193,NextEra Energy,Q967868,
193,194,Deere & Company,Q8354382,
194,195,ArcelorMittal,Q27893,Luxembourg
195,196,Mitsui,Q16877241,
196,197,Abbott Laboratories,Q306764,United States of America
197,198,China Railway Group,Q979615,People's Republic of China
198,199,Gilead Sciences,Q663596,United States of America
199,200,China Railway Construction,Q1073482,People's Republic of China
200,201,L'Oréal,Q156077,France
201,202,Exelon,Q1383669,United States of America
202,203,Delta Air Lines,Q188920,United States of America
203,204,Renault,Q6686,France
204,205,Charter Communications,Q2961234,United States of America
205,206,Micron Technology,Q1197548,United States of America
206,207,Qatar National Bank,Q1136759,Qatar
207,208,Deutsche Post,Q235003,
208,209,HDFC Bank,Q631047,
209,210,Altria Group,Q445007,United States of America
210,211,Valero Energy,Q1283291,United States of America
211,212,Philip Morris International,Q1852556,United States of America
212,213,DBS,Q618076,
213,214,BlackRock,Q219635,United States of America
214,215,Southern Company,Q2304693,United States of America
215,216,3M,Q159433,United States of America
216,217,Schlumberger,Q1425316,United States of America
217,218,Peugeot,Q6742,France
218,219,Linde,Q1593799,
